Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
Early chest computed tomography to diagnose COVID-19 from suspected patients: A multicenter retrospective study.,32327245,130,Other,,,,,No,Multicenter study,Retrospective,"Shanghai, China",19-Apr-20
Profile of RT-PCR for SARS-CoV-2: a preliminary study from 56 COVID-19 patients.,32306036,56,Other,,21-Jan-20,12-Feb-20,23,No,Preliminary study,Retrospective,"Wuhan, China",19-Apr-20
Laboratory data analysis of novel coronavirus (COVID-19) screening in 2510 patients.,32315614,"2,510",Other,,,,,No,,Retrospective,"Hunan, China",18-Apr-20
New-onset acute symptomatic seizure and risk factors in Corona Virus Disease 2019: A Retrospective Multicenter Study.,32304092,304,None/Observatory,,18-Jan-20,18-Feb-20,32,No,Multicenter study,Retrospective,"Hubei, China",18-Apr-20
"Coronavirus Disease 2019 Pneumonia in Immunosuppressed Renal Transplant Recipients: A Summary of 10 Confirmed Cases in Wuhan, China.",32317180,10,Other,,,,,No,,Retrospective,"Wuhan, China",18-Apr-20
"Suppressed T cell-mediated immunity in patients with COVID-19: A clinical retrospective study in Wuhan, China.",32315725,187,Drug(s) | Other | Oxygen therapy,Lopinavir/ritonavir | Arbidol | Immunoglobulin (IVIG) | Hormones | Interferon-α | Oseltamivir  | Ribavirin,26-Dec-19,1-Mar-20,67,No,Single-center observational study,Retrospective,"Wuhan, China",18-Apr-20
COVID19 during pregnancy: a systematic review of reported cases.,32311350,51,None/Observatory,,,,,No,,Retrospective,"Bologna, Italy",17-Apr-20
Association of Inpatient Use of Angiotensin Converting Enzyme Inhibitors and Angiotensin II Receptor Blockers with Mortality Among Patients With Hypertension Hospitalized With COVID-19.,32302265,"1,128",Drug(s),ACEI/ARB ,31-Dec-19,20-Feb-20,52,No,Multi-center study,Retrospective,"Hubei, China",17-Apr-20
Summary of 20 tracheal intubation by anesthesiologists for patients with severe COVID-19 pneumonia: retrospective case series.,32303885,20,Oxygen support,,17-Feb-20,19-Mar-20,32,No,"Single-center, observational case series",Retrospective,"Wuhan, China",17-Apr-20
"Risk factors for severe COVID-19: Evidence from 167 hospitalized patients in Anhui, China.",32305487,167,None/Observatory,,,,,No,,,"Anhui, China",17-Apr-20
Epidemiological characteristics of coronavirus disease 2019 (COVID-19) patients in IRAN: A single center study.,32353762,"2,968",Other,,19-Feb-20,15-Apr-20,57,No,Single center study,Retrospective,"Tehran, Iran",21-Apr-20
Potential therapeutic effects of dipyridamole in the severely ill patients with COVID-19.,32318327,155,Drug(s) | Oxygen therapy,Dipyridamole | Ribavirin | Glucocorticoids,3-Feb-20,8-Mar-20,35,No,Multicenter parallel randomized controlled clinical trial ,Retrospective,China,20-Apr-20
Salvage use of tissue plasminogen activator (tPA) in the setting of acute respiratory distress syndrome (ARDS) due to COVID-19 in the USA: a Markov decision analysis.,32312290,"100,000",Drug(s),Tissue Plasminogen Activator (tPA),,,,No,Short-term randomized clinical trial,,"Denver, USA",20-Apr-20
Comparison of nasopharyngeal and oropharyngeal swabs for SARS-CoV-2 detection in 353 patients received tests with both specimens simultaneously.,32315809,353,Other,,16-Feb-20,2-Mar-20,16,No,,Retrospective,"Wuhan, China",18-Apr-20
Lung Base Findings of Coronavirus Disease (COVID-19) on Abdominal CT in Patients With Predominant Gastrointestinal Symptoms.,32301631,3,Other,,,,,No,,Retrospective,Chicago,17-Apr-20
Extracorporeal Membrane Oxygenation in the Treatment of Severe Pulmonary and Cardiac Compromise in COVID-19: Experience with 32 patients.,32317557,32,Oxygen support,,17-Mar-20,9-Apr-20,24,No,A real time cohort study ,Prospective,USA,17-Apr-20
Chest CT findings of COVID-19 pneumonia by duration of symptoms.,32325282,112,Other,,,,,No,,Retrospective,"Wuhan, China",18-Apr-20
Gastrointestinal symptoms associated with severity of coronavirus disease 2019 (COVID-19): a pooled analysis.,32303970,"1,989",None/Observatory,,,,,Yes,,,,17-Apr-20
Complex Immune Dysregulation in COVID-19 Patients with Severe Respiratory Failure,32320677,54,None/Observatory,,,,,No,,,,21-Apr-20
Detectable serum SARS-CoV-2 viral load (RNAaemia) is closely correlated with drastically elevated interleukin 6 (IL-6) level in critically ill COVID-19 patients.,32301997,48,Drug(s),Tocilizumab,,,,No,,Retrospective,"Wuhan, China",17-Apr-20
ST-Segment Elevation in Patients with Covid-19 — A Case Series,32302081,18,Other,,,,,No,Case series,,"New York, USA",17-Apr-20
"Clinical Characteristics of Pregnant Women with Covid-19 in Wuhan, China.",32302077,118,Other,,8-Dec-19,20-Mar-20,104,No,,,"Wuhan, China",17-Apr-20
Clinical Characteristics of Covid-19 in New York City.,32302078,393,Other,,3-Mar-20,27-Mar-20,25,No,Case series,Retrospective,"New York, USA",17-Apr-20
"Detection and analysis of nucleic acid in various biological samples of COVID-19 patients.",32311437,132,Other,,31-Jan-20,29-Feb-20,30,No,Observation study,,"Wuhan, China",17-Apr-20
"Case series of coronavirus (SARS-CoV-2) in a military recruit school: clinical, sanitary and logistical implications.",32303575,55,Other,,,,,No,Case series,Retrospective review,Switzerland,16-Apr-20
Assessment of immune response to SARS-CoV-2 with fully automated MAGLUMI 2019-nCoV IgG and IgM chemiluminescence immunoassays.,32301750,131,Other,,,,,No,,,"Verona, Italy",16-Apr-20
"Comparison of throat swabs and sputum specimens for viral nucleic acid detection in 52 cases of novel coronavirus (SARS-Cov-2)-infected pneumonia (COVID-19).",32301745,52,Other,,7-Feb-20,16-Feb-20,10,No,Single-center study,Retrospective,"Wuhan, China",16-Apr-20
"Clinical characteristics of COVID-19 in children compared with adults in Shandong Province, China.",32301099,67,Other,,,,,No,,Retrospective,"Shandong, China",16-Apr-20
Association between platelet parameters and mortality in coronavirus disease 2019: Retrospective cohort study.,32297540,383,Other,,2-Jan-20,1-Mar-20,60,No, Hospital-based cohort study,Retrospective,"Wuhan, China",16-Apr-20
"Hospitalization Rates and Characteristics of Patients Hospitalized with Laboratory-Confirmed Coronavirus Disease 2019 - COVID-NET, 14 States, March 1-30, 2020.",32298251,"1,482",None/Observatory,,1-Mar-20,30-Mar-20,30,No,,"Retrospective case identification of patients admitted during March 1–22, 2020.
And 
Prospective case identification during March 23–30, 2020.",USA,17-Apr-20
"A Tool to Early Predict Severe Corona Virus Disease 2019 (COVID-19) : A Multicenter Study using the Risk Nomogram in Wuhan and Guangdong, China.",32296824,372,Other,,,,,No,Cohort three-centers study,Retrospective,"Wuhan and Guangdong, China",16-Apr-20
A diagnostic model for coronavirus disease 2019 (COVID-19) based on radiological semantic and clinical features: a multi-center study.,32300971,136,Other,,1-Jan-20,8-Feb-20,39,No,A consecutive cohort multi-center study.,Retrospective,"Guangdong, China",16-Apr-20
"Positive RT-PCR tests among discharged COVID-19 patients in Shenzhen, China.",32297851,209,Other,,23-Jan-20,21-Feb-20,30,No,,," Shenzhen, China",16-Apr-20
Varicella-like exanthem as a specific COVID-19-associated skin manifestation: multicenter case series of 22 patients.,32305439,22,None/Observatory,,,,,No,Multicenter case series,Retrospective,Italy,16-Apr-20
Clinical characteristics and outcomes of patients with severe covid-19 with diabetes.,32345579,193,Other | Oxygen therapy,,10-Jan-20,24-Feb-20,46,No,Single-center observational study,Retrospective,"Wuhan, China",8-Apr-20
"Clinical features, laboratory characteristics, and outcomes of patients hospitalized with coronavirus disease 2019 (COVID-19): Early report from the United States.",32352401,43,Other | Drug(s),Azithromycin | Vitamin C | Hydroxychloroquine | Corticosteroid,1-Mar-20,4-Apr-20,35,No,Cohort study,Retrospective,USA,29-Apr-20
Autopsy Findings and Venous Thromboembolism in Patients With COVID-19: A Prospective Cohort Study.,32374815,12,Other,,,,,No,Cohort study,Prospective ,"Hamburg, Germany",6-May-20
"Persistence and clearance of viral RNA in 2019 novel coronavirus disease rehabilitation patients.
",32118639,66,Other | Drug(s),Glucocorticoids,20-Jan-20,10-Feb-20,22,No,Observational study,Retrospective,"Shanghai, China",5-May-20
Early recovery following new onset anosmia during the COVID-19 pandemic - an observational cohort study.,32366299,382,None/Observatory,,,,,No,Observational cohort study.,,"Ormskirk, UK",4-May-20
Anesthetic Management of Patients with COVID 19 Infections during Emergency Procedures.,32178954,37,Other,,23-Jan-20,31-Jan-20,9,No,Multicenter clinical study.,Retrospective,"Wuhan, China",28-Feb-20
Diagnostic performance of chest CT to differentiate COVID-19 pneumonia in non-high-epidemic area in Japan.,32232648,21,Other,,14-Feb-20,1-Mar-20,17,No,Cohort study,Retrospective,"Wakayama, Japan",30-Mar-20
Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults.,32134205,20,Other,,23-Jan-20,8-Feb-20,17,No,,Retrospective,"Wuhan, China",5-Mar-20
"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China.",32354360,107,None/Observatory,,1-Jan-20,10-Feb-20,41,No,Cohort study,Retrospective,"Wuhan, China",30-Apr-20
Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.,32360583,"4,941",None/Observatory,,,,,Yes,,,"Shanghai, China",30-Apr-20
"Clinical characteristics of patients with 2019 coronavirus disease in a non-Wuhan area of Hubei Province, China: a retrospective study.",32345226,91,Other | Drug(s),Lopinavir/ritonavir | Empirical antibiotics | Glucocorticoids | Empirical Antivirals | Oseltamivir  | Immunoglobulin (IVIG) | Umifenovir,16-Jan-20,10-Feb-20,26,No,,Retrospective,"Jingzhou, China",29-Apr-20
A retrospective cohort study of methylprednisolone therapy in severe patients with COVID-19 pneumonia.,32341331,46,Drug(s),Methylprednisolone | Empirical antibiotics | Thymosin | Interferon-α | Lopinavir/ritonavir,20-Jan-20,25-Feb-20,37,No,Cohort study,Retrospective,"Wuhan, China",28-Apr-20
Initial experiences from patients with COVID-19 on ventilatory support in Denmark.,32351196,16,None/Observatory,,11-Mar-20,1-Apr-20,22,No,Single-centre descriptive study,Retrospective,"Zealand, Denmark",27-Apr-20
Prognosis when using extracorporeal membrane oxygenation (ECMO) for critically ill COVID-19 patients in China: a retrospective case series.,32293518,12,Oxygen support | Drug(s),Empirical Antivirals | Empirical antibiotics | Glucocorticoids,,,,No,Case series,Retrospective,"Wuhan, China",15-Apr-20
"Interpreting COVID-19 and Virtual Care Trends: Cohort Study.",32252023,257,None/Observatory,,1-Feb-20,15-Mar-20,44,No,Cohort Study,,"North Carolina, USA",15-Apr-20
Prognostic value of NT-proBNP in patients with severe COVID-19.,32293449,54,Other,,,,,No,Observational study,Retrospective,"Chongqing, China",15-Apr-20
Neutrophil-to-lymphocyte ratio as an independent risk factor for mortality in hospitalized patients with COVID-19.,32283162,245,Other,,1-Jan-20,29-Feb-20,60,No,Cohort Study,Retrospective,"Wuhan, China",10-Apr-20
Clinical characteristics and outcomes of hospitalised patients with COVID-19 treated in Hubei (epicenter) and outside Hubei (non-epicenter): A Nationwide Analysis of China.,32269086,"1,590",None/Observatory,,21-Nov-19,31-Jan-20,72,Yes,Cohort Study,Retrospective,China,4-Jun-20
CT imaging analysis of 33 cases with the 2019 novel coronavirus infection,32294858,33,Other,,13-Jan-20,31-Jan-20,19,No,,Retrospective,"Suzhou, China",7-Apr-20
Clinical Course and Outcomes of Patients with Severe Acute Respiratory Syndrome Coronavirus 2 Infection: a Preliminary Report of the First 28 Patients from the Korean Cohort Study on COVID-19.,32242348,28,Other,,19-Jan-20,17-Feb-20,30,No,"Multicenter study, cohort study",Retrospective,"Seoul, Korea",6-Apr-20
Gastrointestinal Manifestations of SARS-CoV-2 Infection and Virus Load in Fecal Samples from the Hong Kong Cohort and Systematic Review and Meta-analysis.,32251668,59,Other,,2-Feb-20,29-Feb-20,28,Yes,Analysis of a cohort study,,"Hong Kong, China",3-Apr-20
Analysis of CT features of 15 children with 2019 novel coronavirus infection,32234131,15,Other,,16-Jan-20,6-Feb-20,22,No,Analytical study,Retrospective,"Shenzhen, China",2-Apr-20
Clinical and Transmission Characteristics of Covid-19 - A Retrospective Study of 25 Cases from a Single Thoracic Surgery Department.,32232652,25,Other,,1-Jan-20,20-Feb-20,51,No,Analytical study,Retrospective ,"Wuhan, China",30-Mar-20
"Clinicopathological characteristics of 8697 patients with COVID-19 in China: a meta-analysis.
",32371463,"8,697",None/Observatory,,,,,Yes,," Retrospective studies
(Meta-analysis)","Guangxi, China",8-Apr-20
Characteristics and Early Prognosis of COVID-19 Infection in Fracture Patients.,32243304,10,Other | Drug(s),Glucocorticoids | Immunoglobulin (IVIG) | Moxifloxacin | Oseltamivir,1-Jan-20,27-Feb-20,58,No,Anaytical cohort study,,"Hubei, China",1-Apr-20
Characteristics of COVID-19 infection in Beijing.,32112886,262,None/Observatory,,20-Jan-20,10-Feb-20,22,No,,Retrospective ,"Beijing, China",27-Feb-20
"Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19):A multi-center study in Wenzhou city, Zhejiang, China.",32112884,85,Drug(s) | Other,Glucocorticoids | Antifungal drugs | Empirical antibiotics | Empirical Antivirals | Interferon-α | Immunoglobulin (IVIG),17-Jan-20,10-Feb-20,25,No,Cohort study,Retrospective ,"Zhejiang, China",26-Feb-20
Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2.,32109443,50,Other,,1-Jan-20,1-Feb-20,32,No,Analytical study,Retrospective ,"Beijing, China",25-Feb-20
Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.,32073213,183,Other,,1-Jan-20,3-Feb-20,34,No,Analytical study,Retrospective ,"Wuhan, China",13-Mar-20
Emerging 2019 Novel Coronavirus (2019-nCoV) Pneumonia.,32027573,51,Other,,20-Jan-20,27-Jan-20,8,No,,Retrospective ,"Shanghai, China",6-Feb-20
CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV).,32017661,21,Other,,18-Jan-20,27-Jan-20,10,No,Observational study,Retrospective ,China,4-Feb-20
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study.",32171076,191,Other | Drug(s),Empirical antibiotics | Corticosteroid | Immunoglobulin (IVIG) | Lopinavir/ritonavir,29-Dec-19,31-Jan-20,34,No,"Multicentre cohort study
(Two cohorts of
adult inpatients 135 from Jinyintan Hospital and 56 from Wuhan Pulmonary Hospital)",Retrospective ,"Wuhan, China",9-Mar-20
"Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China.",32191764,27,Drug(s) | Other,Ribavirin | Immunoglobulin (IVIG) | Glucocorticoids | Empirical antibiotics | Oseltamivir ,1-Jan-20,25-Jan-20,25,No,,Retrospective ,"Wuhan, China",19-Mar-20
Clinical characteristics and therapeutic procedure for four cases with 2019 novel coronavirus pneumonia receiving combined Chinese and Western medicine treatment.,32037389,4,Drug(s) | Other,Lopinavir/ritonavir | Arbidol | Traditional Chinese medicine | Immunoglobulin (IVIG) | Empirical antibiotics,21-Jan-20,24-Jan-20,4,No,Case report,Retrospective ,"Shanghai, China",16-Mar-20
Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau.,32226287,10,Drug(s) | Other,Methylprednisolone | Lopinavir/ritonavir |  Interferon-β1b | Empirical antibiotics,21-Jan-20,16-Feb-20,27,No,Case report,Retrospective ,"Macau, China",15-Mar-20
Clinical features of 2019 novel coronavirus pneumonia in the early stage from a fever clinic in Beijing,32164091,9,None/Observatory,,18-Jan-20,3-Feb-20,17,No,Case report,Retrospective ,"Beijing, China",12-Mar-20
Clinical characteristics of 30 medical workers infected with new coronavirus pneumonia,32164090,30,None/Observatory,,10-Jan-20,31-Jan-20,22,No,Observational study,Retrospective ,"Jianghan, China",12-Mar-20
Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records.,32151335,9,Drug(s) | Oxygen support | Other,Methylprednisolone | Empirical antibiotics | Empirical Antivirals,20-Jan-20,31-Jan-20,12,No,Observational study,Retrospective ,"Wuhan, China",12-Feb-20
Risk factors associated with disease progression in a cohort of patients infected with the 2019 novel coronavirus.,32233642,17,Drug(s) | Oxygen support,Corticosteroid | Lopinavir/ritonavir,28-Jan-20,6-Feb-20,10,No,Cohort study,Retrospective ,"Nanchang, China",17-Mar-20
"Detectable 2019-nCoV viral RNA in blood is a strong indicator for the further
clinical severity",32102625,85,Other,,23-Jan-20,4-Feb-20,13,No,Analytical cohort study,Retrospective ,"Guangzhou, China",15-Feb-20
"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series.",32075786,62,Drug(s) | Other,Corticosteroid | Lopinavir/ritonavir | Immunoglobulin (IVIG) | Interferon-α | Arbidol,10-Jan-20,26-Jan-20,17,No,Case series.,Retrospective ,"Zhejiang, China",19-Feb-20
A single center observational study of the clinical characteristics and short-term outcome of 20 kidney transplant patients admitted for SARS-CoV2 pneumonia.,32354634,20,None/Observatory,,27-Feb-20,24-Mar-20,27,No,A single center observational study ,,"Brescia, Italy",9-Apr-20
